,YearSampled,Pasture,Plot,Transect,Distance,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
1,2013,15E,1,1,10,164.69,297.08,23.14,151.77,9.69,0,0,0,0,1,TGM,Loamy,133.06,520234,4520700
2,2013,15E,1,4,10,5.92,540.89,0,0,5.38,0,0,0,0,1,TGM,Loamy,133.06,520234,4520700
3,2013,15E,1,4,20,2.15,685.12,18.84,27.99,6.46,0,0,0,0,1,TGM,Loamy,133.06,520234,4520700
4,2013,15E,2,1,10,250.26,430.56,0,1.61,0,0,0,0,0,1,TGM,Loamy,133.06,520428,4520540
5,2013,15E,2,1,20,0,569.41,171.68,74.81,2.15,0,0,0,0,1,TGM,Loamy,133.06,520428,4520540
6,2013,15E,2,4,10,9.15,525.82,0,35.52,4.31,182.99,0,0,0,1,TGM,Loamy,133.06,520428,4520540
7,2013,15E,2,4,20,0,515.59,0,40.36,4.84,0,0,0,0,1,TGM,Loamy,133.06,520428,4520540
8,2013,15E,3,1,10,0,331.53,122.71,0,7.53,0,0,0,0,1,TGM,Loamy,133.06,520258,4520250
9,2013,15E,3,4,10,0,262.64,51.67,62.43,4.84,0,0,0,0,1,TGM,Loamy,133.06,520258,4520250
10,2013,15E,3,4,20,101.18,585.56,87.73,0,14.53,0,1107.61,0,0,1,TGM,Loamy,133.06,520258,4520250
11,2013,15E,4,1,10,16.68,566.72,91.49,18.3,8.61,0,0,0,0,1,TGM,Loamy,133.06,520358,4520020
12,2013,15E,4,1,20,9.69,425.17,165.23,105.49,7.53,0,0,0,0,1,TGM,Loamy,133.06,520358,4520020
13,2013,15E,4,4,10,107.64,896.63,160.38,27.99,4.84,0,0,0,0,1,TGM,Loamy,133.06,520358,4520020
14,2013,15E,4,4,20,0,599.01,0,36.6,3.77,0,0,0,0,1,TGM,Loamy,133.06,520358,4520020
15,2013,17N,1,1,10,41.98,527.43,71.58,28.52,9.15,0,0,0,0,9,TGM,Loamy,128.63,525796,4520980
16,2013,17N,1,1,20,27.99,554.34,69.43,3.23,34.98,0,0,0,0,9,TGM,Loamy,128.63,525796,4520980
17,2013,17N,1,4,10,0,369.74,254.03,12.38,222.27,2.15,0,0,0,9,TGM,Loamy,128.63,525796,4520980
18,2013,17N,1,4,20,53.28,188.37,179.76,29.6,101.72,183.52,5.92,0,0,9,TGM,Loamy,128.63,525796,4520980
19,2013,17N,2,1,10,194.83,357.9,117.86,0,38.75,0,0,0,0,9,TGM,Loamy,128.63,525804,4520580
20,2013,17N,2,1,20,71.58,346.06,48.98,4.31,7.53,0,0,0,0,9,TGM,Loamy,128.63,525804,4520580
21,2013,17N,2,4,10,0,340.68,0,128.09,36.6,161.46,0,0,0,9,TGM,Loamy,128.63,525804,4520580
22,2013,17N,2,4,20,0,471.46,122.17,15.07,79.65,0,0,0,0,9,TGM,Loamy,128.63,525804,4520580
23,2013,17N,3,1,10,0,465.54,449.39,0,439.17,684.59,0,0,0,9,TGM,Salt Flats,128.63,526165,4520580
24,2013,17N,3,1,20,0,3.77,768.54,0,385.35,478.46,0,0,0,9,TGM,Salt Flats,128.63,526165,4520580
25,2013,17N,3,4,10,0,0,58.66,56.51,1503.18,1738.37,0,0,0,9,TGM,Salt Flats,128.63,526165,4520580
