Row,YearSampled,Pasture,C3PGObj,Plot,Transect,Distance,Block,Treatment,Ecosite,FGCode,kgPerHa
1,2013,15E,NonMCLO,1,1,10,1,TGM,Loamy,AG,164.6879148
2,2013,15E,NonMCLO,1,1,10,1,TGM,Loamy,BOBU,297.0840816
3,2013,15E,NonMCLO,1,1,10,1,TGM,Loamy,C3PG,23.1424194
4,2013,15E,NonMCLO,1,1,10,1,TGM,Loamy,FORB,151.7712156
5,2013,15E,NonMCLO,1,1,10,1,TGM,Loamy,SD,9.6875244
6,2013,15E,NonMCLO,1,4,10,1,TGM,Loamy,AG,5.9201538
7,2013,15E,NonMCLO,1,4,10,1,TGM,Loamy,BOBU,540.886779
8,2013,15E,NonMCLO,1,4,10,1,TGM,Loamy,SD,5.381958
9,2013,15E,NonMCLO,1,4,20,1,TGM,Loamy,AG,2.1527832
10,2013,15E,NonMCLO,1,4,20,1,TGM,Loamy,BOBU,685.1232534
11,2013,15E,NonMCLO,1,4,20,1,TGM,Loamy,C3PG,18.836853
12,2013,15E,NonMCLO,1,4,20,1,TGM,Loamy,FORB,27.9861816
13,2013,15E,NonMCLO,1,4,20,1,TGM,Loamy,SD,6.4583496
14,2013,15E,NonMCLO,2,1,10,1,TGM,Loamy,AG,250.261047
15,2013,15E,NonMCLO,2,1,10,1,TGM,Loamy,BOBU,430.55664
16,2013,15E,NonMCLO,2,1,10,1,TGM,Loamy,FORB,1.6145874
17,2013,15E,NonMCLO,2,1,20,1,TGM,Loamy,BOBU,569.4111564
18,2013,15E,NonMCLO,2,1,20,1,TGM,Loamy,C3PG,171.6844602
19,2013,15E,NonMCLO,2,1,20,1,TGM,Loamy,FORB,74.8092162
20,2013,15E,NonMCLO,2,1,20,1,TGM,Loamy,SD,2.1527832
21,2013,15E,NonMCLO,2,4,10,1,TGM,Loamy,AG,9.1493286
22,2013,15E,NonMCLO,2,4,10,1,TGM,Loamy,BOBU,525.8172966
23,2013,15E,NonMCLO,2,4,10,1,TGM,Loamy,FORB,35.5209228
24,2013,15E,NonMCLO,2,4,10,1,TGM,Loamy,SD,4.3055664
25,2013,15E,NonMCLO,2,4,10,1,TGM,Loamy,WSPG,182.986572
26,2013,15E,NonMCLO,2,4,20,1,TGM,Loamy,BOBU,515.5915764
27,2013,15E,NonMCLO,2,4,20,1,TGM,Loamy,FORB,40.364685
