site,depth.cm,date,vwc.daily
15E,10,6/21/2018,4.30370603
15E,10,6/22/2018,4.035353709
15E,10,6/23/2018,3.884617064
15E,10,6/24/2018,3.575275987
15E,10,6/25/2018,3.536435946
15E,10,6/26/2018,3.489851276
15E,10,6/27/2018,3.280545045
15E,10,6/28/2018,2.995119118
15E,10,6/29/2018,2.731502196
15E,10,6/30/2018,2.602128001
15E,10,7/1/2018,3.012968725
15E,10,7/2/2018,3.073814909
15E,10,7/3/2018,2.96664922
15E,10,7/4/2018,2.791936363
15E,10,7/5/2018,2.657896048
15E,10,7/6/2018,2.643995288
15E,10,7/7/2018,2.610467739
15E,10,7/8/2018,2.535358007
15E,10,7/9/2018,2.448475431
15E,10,7/10/2018,2.37601781
15E,10,7/11/2018,2.322233777
15E,10,7/12/2018,2.331401448
15E,10,7/13/2018,2.765612406
15E,10,7/14/2018,2.889576909
15E,10,7/15/2018,2.773476201
15E,10,7/16/2018,2.807749895
15E,10,7/17/2018,2.851119374
15E,10,7/18/2018,2.831519377
15E,10,7/19/2018,2.729480962
15E,10,7/20/2018,2.594804701
15E,10,7/21/2018,2.491429551
15E,10,7/22/2018,2.371670098
15E,10,7/23/2018,2.298748078
15E,10,7/24/2018,2.325169969
15E,10,7/25/2018,2.299614917
15E,10,7/26/2018,2.327566606
15E,10,7/27/2018,2.35235793
15E,10,7/28/2018,2.370548735
15E,10,7/29/2018,2.421820036
15E,10,7/30/2018,2.4486455
15E,10,7/31/2018,2.437386289
15E,10,8/1/2018,2.37557585
15E,10,8/2/2018,2.324697626
15E,10,8/3/2018,2.261380839
15E,10,8/4/2018,2.255019428
15E,10,8/5/2018,2.217598662
15E,10,8/6/2018,2.229879769
15E,10,8/7/2018,2.381004814
15E,10,8/8/2018,2.471142466
15E,10,8/9/2018,2.513923676
15E,10,8/10/2018,2.513528236
15E,10,8/11/2018,2.44931824
15E,10,8/12/2018,2.353472318
15E,10,8/13/2018,2.28777986
15E,10,8/14/2018,2.23686317
15E,10,8/15/2018,2.218726966
15E,10,8/16/2018,2.22070953
15E,10,8/17/2018,2.189309104
15E,10,8/18/2018,2.142247735
15E,10,8/19/2018,2.12829852
15E,10,8/20/2018,2.142436499
15E,10,8/21/2018,2.128522033
15E,10,8/22/2018,2.159742153
15E,10,8/23/2018,2.191059059
15E,10,8/24/2018,2.171591843
15E,10,8/25/2018,2.153101462
15E,10,8/26/2018,2.150245679
15E,10,8/27/2018,2.12342439
15E,10,8/28/2018,2.100886519
15E,10,8/29/2018,2.096747821
15E,10,8/30/2018,2.092530227
15E,10,8/31/2018,2.080530714
15E,10,9/1/2018,2.067474783
15E,10,9/2/2018,2.05290506
15E,10,9/3/2018,2.050044434
15E,10,9/4/2018,2.050178885
15E,10,9/5/2018,2.035251196
15E,10,9/6/2018,2.03465018
15E,10,9/7/2018,2.064250996
15E,10,9/8/2018,2.066025162
15E,10,9/9/2018,2.058293393
15E,10,9/10/2018,2.047134282
15E,10,9/11/2018,2.02445899
15E,10,9/12/2018,2.026236688
15E,10,9/13/2018,2.01915645
15E,10,9/14/2018,2.010394911
