    OWN#    HRD#    GRZ#     #HD    FFED        
       1       1      13      20       0        
       1       2      13      14       0        
       1       3      13      14       0        
       1       4      13      14       0        
       1       5      13      16       0        
       1       6      13      14       0        
       1       7      13      14       0        
       1       8      13      14       0        
       1       9      13      13       0        
       1      10      13      14       0        
       2       1       6      20       0        
       2       2       6      14       0        
       2       3       6      14       0        
       2       4       6      14       0        
       2       5       6      16       0        
       2       6       6      14       0        
       2       7       6      14       0        
       2       8       6      14       0        
       2       9       6      13       0        
       2      10       6      14       0        
       2      11      11     214       0        
       2      12      12     214       0        

