    1 CO_ARS.DLY     40.841 -104.715  1798.
  464 USC00247858.txt     0.00     0.00
   99 TEMP.DLY       37.25    0.00  3938.0
    1 TX0012.DLY     33.84 -101.86   1024. ABERNATHY       
    2 TX0013.DLY     32.34  -99.77    568. ABILENE 2       
    3 TX0016.DLY     32.41  -99.68    546. ABILENE REGIONAL
    4 TX0040.DLY     30.35 -101.25    613. ACTON RANCH     
    5 TX0081.DLY     26.90  -98.60    140. AGUA NUEVA      
    6 TX0120.DLY     32.72  -99.30    427. ALBANY          
    7 TX0144.DLY     27.73  -98.07     61. ALICE           
    8 TX0174.DLY     30.37 -103.66   1347. ALPINE          
    9 TX0204.DLY     29.36  -95.23      8. ALVIN           
   10 TX0206.DLY     33.39  -97.72    308. ALVORD 3 N      
   11 TX0211.DLY     35.22 -101.71   1093. AMARILLO WSO AIR
   12 TX0225.DLY     29.46 -101.03    353. AMISTAD DAM     
   13 TX0235.DLY     29.77  -94.66      7. ANAHUAC         
   14 TX0244.DLY     30.48  -95.98    107. ANDERSON        
   15 TX0246.DLY     30.76  -97.86    323. ANDICE 2 SW     
   16 TX0248.DLY     32.35 -102.55    973. ANDREWS         
   17 TX0257.DLY     29.16  -95.46      8. ANGLETON 2 W    
   18 TX0268.DLY     32.77  -99.89    521. ANSON           
   19 TX0305.DLY     28.31  -96.81      5. ARANSAS WILDLIFE
   20 TX0313.DLY     33.59  -98.64    317. ARCHER CITY     
   21 TX0337.DLY     32.74  -97.13    200. ARLINGTON       
   22 TX0342.DLY     26.93  -97.80      9. ARMSTRONG       
   23 TX0394.DLY     33.15 -100.23    509. ASPERMONT       
   24 TX0404.DLY     32.16  -95.83    136. ATHENS          
   25 TX0408.DLY     33.12  -94.17     96. ATLANTA         
   26 TX0427.DLY     30.28  -97.65    152. AUSTIN WTR TRTMT
   27 TX0428.DLY     30.32  -97.76    200. AUSTIN CAMP MABR
   28 TX0429.DLY     30.18  -97.68    146. AUSTIN-BERGSTROM
   29 TX0431.DLY     30.17  -97.70    166. AUSTIN 8SSE     
   30 TX0437.DLY     28.27  -96.80      6. ARANSAS WILDLIFE
   31 TX0479.DLY     29.95 -101.15    460. BAKERS CROSSING 
   32 TX0482.DLY     30.89 -102.30    776. BAKERSFIELD     
   33 TX0493.DLY     31.74  -99.98    535. BALLINGER 2 NW  
