,Pasture,Month,Day,Year,Ecosite,Treatment,CPNM,Biomass,Stdev,Date2,PastureID,CPNM2
1,15E,8,5,2013,Loamy,TGM,BOBU,508.2895833,93.35270121,08/05/2013,1,BOBU
2,15E,8,5,2013,Loamy,TGM,C3PG,62.13333333,41.23764068,08/05/2013,1,CSPG
4,15E,8,5,2013,Loamy,TGM,FORB,41.47708333,16.4455293,08/05/2013,1,FRB3
5,15E,8,5,2013,Loamy,TGM,SD,6.283333333,2.571289128,08/05/2013,1,SD
6,15E,8,5,2013,Loamy,TGM,SS,92.3,184.6,08/05/2013,1,SSHB
7,15E,8,5,2013,Loamy,TGM,VUOC,47.42083333,16.21242879,08/05/2013,1,VUOC
8,15E,8,5,2013,Loamy,TGM,WSPG,11.4375,22.875,08/05/2013,1,WSPG
31,15E,8,5,2014,Loamy,TGM,BOBU,506.075,253.9182094,08/05/2014,1,BOBU
32,15E,8,5,2014,Loamy,TGM,C3PG,34.91875,30.91954866,08/05/2014,1,CSPG
34,15E,8,5,2014,Loamy,TGM,FORB,136.5,102.8927779,08/05/2014,1,FRB3
35,15E,8,5,2014,Loamy,TGM,SD,27.78125,12.80425344,08/05/2014,1,SD
36,15E,8,5,2014,Loamy,TGM,SS,22.79375,42.19210222,08/05/2014,1,SSHB
37,15E,8,5,2014,Loamy,TGM,VUOC,316.6625,184.5187214,08/05/2014,1,VUOC
38,15E,8,5,2014,Loamy,TGM,WSPG,13.625,24.29591015,08/05/2014,1,WSPG
20,15E,8,5,2015,Loamy,TGM,BOBU,688.3375,140.5101991,08/05/2015,1,BOBU
21,15E,8,5,2015,Loamy,TGM,C3PG,74.8875,30.98938999,08/05/2015,1,CSPG
23,15E,8,5,2015,Loamy,TGM,FORB,91.15625,40.18990532,08/05/2015,1,FRB3
24,15E,8,5,2015,Loamy,TGM,SD,48.275,56.29554823,08/05/2015,1,SD
25,15E,8,5,2015,Loamy,TGM,SS,50.48125,87.67615453,08/05/2015,1,SSHB
26,15E,8,5,2015,Loamy,TGM,VUOC,92.0625,41.79642379,08/05/2015,1,VUOC
67,15E,8,5,2015,Loamy,TGM,WSPG,17.6625,21.55659702,08/05/2015,1,WSPG
9,15E,8,5,2016,Loamy,TGM,BOBU,391.025,112.6568851,08/05/2016,1,BOBU
10,15E,8,5,2016,Loamy,TGM,C3PG,64.44375,67.82847354,08/05/2016,1,CSPG
12,15E,8,5,2016,Loamy,TGM,FORB,58.025,37.88258725,08/05/2016,1,FRB3
13,15E,8,5,2016,Loamy,TGM,SD,255.5125,46.64630434,08/05/2016,1,SD
14,15E,8,5,2016,Loamy,TGM,SS,63.74375,45.50085336,08/05/2016,1,SSHB
15,15E,8,5,2016,Loamy,TGM,VUOC,339.4625,83.74286661,08/05/2016,1,VUOC
56,15E,8,5,2016,Loamy,TGM,WSPG,36.825,30.61452542,08/05/2016,1,WSPG
39,15E,8,5,2017,Loamy,TGM,BOBU,345.0875,66.03899259,08/05/2017,1,BOBU
40,15E,8,5,2017,Loamy,TGM,C3PG,105.44375,110.0815368,08/05/2017,1,CSPG
42,15E,8,5,2017,Loamy,TGM,FORB,88.3625,51.76109181,08/05/2017,1,FRB3
43,15E,8,5,2017,Loamy,TGM,SD,154.0875,64.92459889,08/05/2017,1,SD
44,15E,8,5,2017,Loamy,TGM,SS,159.74375,111.4865918,08/05/2017,1,SSHB
59,15E,8,5,2017,Loamy,TGM,VUOC,30.10625,41.30751231,08/05/2017,1,VUOC
71,15E,8,5,2017,Loamy,TGM,WSPG,14.4625,19.07826534,08/05/2017,1,WSPG
27,15E,8,5,2018,Loamy,TGM,BOBU,217.29375,78.16835031,08/05/2018,1,BOBU
28,15E,8,5,2018,Loamy,TGM,C3PG,47.0875,32.83208225,08/05/2018,1,CSPG
