Year,Block,Treatment,Pasture,Ecosite,C3PGObj,Plot,Transect,Distance,BOBU,WSPG,VUOC,C3PG,FORB,SS,C4PG,SD,Forage,HERB
2013,1,AGM,NH,Loamy,NonMCLO,1,1,10,333.7,0,126.5,294.4,0,0,333.7,1.6,754.6,754.6
2013,1,AGM,NH,Loamy,NonMCLO,1,1,20,656.6,0,191.6,0,89.3,0,656.6,9.7,937.5,937.5
2013,1,AGM,NH,Loamy,NonMCLO,1,4,10,174.9,317.5,130.8,301.9,250.8,0,492.4,68.4,1493.5,1493.5
2013,1,AGM,NH,Loamy,NonMCLO,1,4,20,191.1,14.5,16.1,856.3,0,0,205.6,129.7,1092.5,1092.5
2013,1,AGM,NH,Loamy,NonMCLO,2,1,10,1044.1,0,0,88.8,26.9,0,1044.1,7.5,1159.8,1159.8
2013,1,AGM,NH,Loamy,NonMCLO,2,1,20,242.2,0,0,0,0,0,242.2,2.2,242.2,242.2
2013,1,AGM,NH,Loamy,NonMCLO,2,4,10,1573.1,0,4.3,38.8,50.1,0,1573.1,9.7,1666.3,1666.3
2013,1,AGM,NH,Loamy,NonMCLO,2,4,20,996.2,0,0,0,0,0,996.2,137.8,996.2,996.2
2013,1,AGM,NH,Loamy,NonMCLO,3,1,10,503.8,73.7,0,282.6,0,0,577.5,23.7,933.8,933.8
2013,1,AGM,NH,Loamy,NonMCLO,3,1,20,383.2,0,0,281.5,0,0,383.2,7.5,664.7,664.7
2013,1,AGM,NH,Loamy,NonMCLO,3,4,10,388,0,0,125.4,0.2,0,388,5.4,513.7,513.7
2013,1,AGM,NH,Loamy,NonMCLO,3,4,20,554.9,0,0,11.8,0.5,0,554.9,10.2,567.3,567.3
2013,1,AGM,NH,Loamy,NonMCLO,4,1,10,472.5,0,0,0,245.4,0,472.5,7.5,718,718
2013,1,AGM,NH,Loamy,NonMCLO,4,1,20,641,0,22.6,11.8,0,0,641,12.4,675.4,675.4
