PastureID,Pasture,Ecosite,graze.trt,Block,Proportion,Plot,CARM_name,,,,,,
1,15E,Loamy,TRM,1,0.25,1,NA,,,,,,
2,24W,Loamy,TRM,2,0.25,1,NA,,,,,,
3,26E,Loamy,TRM,3,0.25,1,NA,,,,,,
4,25SE,Loamy,TRM,4,0.25,1,NA,,,,,,
5,31E,Loamy,TRM,5,0.25,1,NA,,,,,,
6,19N,Sandy,TRM,6,0.25,1,NA,,,,,,
7,7NW,Loamy,TRM,7,0.167,1,NA,,,,,,
8,5E,Loamy,TRM,8,0.25,1,NA,,,,,,
9,17N,Loamy,TRM,9,0.167,1,NA,,,,,,
10,20SE,Sandy,TRM,10,0.167,1,NA,,,,,,
11,10S,Loamy,CARM,1,0.25,1,Nighthawk,,,,,,
12,21N,Loamy,CARM,2,0.25,1,Highway,,,,,,
13,26W,Loamy,CARM,3,0.25,1,Hilltank,,,,,,
14,25NW,Loamy,CARM,4,0.25,1,Crossroads,,,,,,
15,31W,Loamy,CARM,5,0.25,1,South,,,,,,
16,18S,Sandy,CARM,6,0.25,1,Snowfence,,,,,,
17,7SE,Loamy,CARM,7,0.167,1,Headquarters,,,,,,
18,8E,Loamy,CARM,8,0.25,1,Ridgetank,,,,,,
19,17S,Loamy,CARM,9,0.167,1,Saltflat,,,,,,
20,20NW,Sandy,CARM,10,0.167,1,Elm,,,,,,
21,15E,Loamy,TRM,1,0.25,2,NA,,,,,,
22,15E,Loamy,TRM,1,0.25,3,NA,,,,,,
23,15E,Loamy,TRM,1,0.25,4,NA,,,,,,
24,24W,Loamy,TRM,2,0.25,2,NA,,,,,,
25,24W,Loamy,TRM,2,0.25,3,NA,,,,,,
26,24W,Loamy,TRM,2,0.25,4,NA,,,,,,
27,26E,Loamy,TRM,3,0.25,2,NA,,,,,,
28,26E,Loamy,TRM,3,0.25,3,NA,,,,,,
29,26E,Loamy,TRM,3,0.25,4,NA,,,,,,
30,25SE,Loamy,TRM,4,0.25,2,NA,,,,,,
31,25SE,Loamy,TRM,4,0.25,3,NA,,,,,,
32,25SE,Loamy,TRM,4,0.25,4,NA,,,,,,
33,31E,Loamy,TRM,5,0.25,2,NA,,,,,,
34,31E,Loamy,TRM,5,0.25,3,NA,,,,,,
35,31E,Sandy,TRM,5,0.25,4,NA,,,,,,
36,19N,Sandy,TRM,6,0.25,2,NA,,,,,,
37,19N,Sandy,TRM,6,0.25,3,NA,,,,,,
38,19N,Sandy,TRM,6,0.25,4,NA,,,,,,
39,7NW,Loamy,TRM,7,0.167,2,NA,,,,,,
40,7NW,Sandy,TRM,7,0.167,3,NA,,,,,,
41,7NW,Loamy,TRM,7,0.167,4,NA,,,,,,
42,7NW,Salt Flats,TRM,7,0.167,5,NA,,,,,,
43,7NW,Salt Flats,TRM,7,0.167,6,NA,,,,,,
44,5E,Sandy,TRM,8,0.25,2,NA,,,,,,
45,5E,Loamy,TRM,8,0.25,3,NA,,,,,,
46,5E,Sandy,TRM,8,0.25,4,NA,,,,,,
47,17N,Loamy,TRM,9,0.167,2,NA,,,,,,
48,17N,Salt Flats,TRM,9,0.167,3,NA,,,,,,
49,17N,Salt Flats,TRM,9,0.167,4,NA,,,,,,
